,textID,text,sentiment,unclean_text_len,unclean_text_word_count
0,cb774db0d1,responded going,1,36,7
1,549e992a42,sooo sad miss san diego,0,46,10
2,088c60f138,boss bullying,0,25,5
3,9642c003ef,interview leave alone,0,31,5
4,358bd9e861,sons put releases already bought,0,75,14
5,28b57f3990,http www dothebouncy com smf shameless plugging best rangers forum earth,1,92,12
6,6e0c6d75b1,2am feedings baby fun smiles coos,2,64,14
7,50e14c0bb8,soooo high,1,10,2
8,e050245fbd,,1,12,3
9,fc2cbefa9d,journey wow u became cooler hehe possible,2,69,10
10,2339a9b08b,much love hopeful reckon chances minimal p never gonna get cake stuff,1,107,23
11,16fab9f95b,really really like song love story taylor swift,2,56,11
12,74a76f6e0a,sharpie running dangerously low ink,0,44,8
13,04dd1d2e34,want go music tonight lost voice,0,50,12
14,bbe3cbf620,test test lg env2,1,26,6
15,8a939bfb59,uh oh sunburned,0,21,5
16,3440297f8b,ok trying plot alternatives speak sigh,0,53,9
17,919fa93391,sick past days thus hair looks wierd didnt hat would look http tinyurl com mnf4kw,0,137,25
18,af3fed7fc3,back home gonna miss every one,0,42,8
19,40e7becabf,hes,1,26,6
20,04d17ef61e,oh marly sorry hope find soon,1,59,13
21,e48b0b8a23,playing ghost online really interesting new updates kirin pet metamorph third job wait dragon pet,2,135,24
22,7de057cf40,cleaning house family comming later today,1,65,12
23,9ce5570064,gotta restart computer thought win7 supposed put end constant rebootiness,1,98,18
24,0c8cc71c46,see wat mean bout foll0w friidays called lose f0llowers friday smh,1,79,13
25,e00c6ef376,free fillin app ipod fun im addicted,2,51,11
26,852edc3769,sorry,0,12,2
27,bdc32ea43c,way malaysia internet access twit,0,51,9
28,6ce4a4954b,juss came backk berkeleyy omg madd fun havent minute whassqoodd,2,109,22
29,d22e6d40a7,went sleep power cut noida power back working,0,78,17
30,d33f811375,going home seen new twitter design quite heavenly,2,84,13
31,7d8c4c11e4,hope unni make audition fighting dahye unni,2,58,12
